tieu_de,mo_ta,dien_tich_dat,dien_tich_su_dung,chieu_ngang,tong_so_tang,so_phong_ngu,loai_hinh,giay_to_phap_ly,tinh_trang_noi_that,huong_cua_chinh,dac_diem,dia_chi_cu,dia_chi_moi,gia_ban
"NHỈNH 5T - NHÀ 1 SET, NGAY MT – NƠ TRANG LONG","📐 Diện tích: 4 x 16m, nở hậu nhẹ
📖 Công nhận: 62m²
🏠 Kết cấu: 2PN – 2WC
💵 Hiện trạng: Đang cho thuê mở lớp dạy học",62.0,120.0,3.875,1.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,bac,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,5.0
"1 SẸT, HẺM SẠCH 7M - OTO ĐẬU CỬA - CĂN GÓC – VỪA Ở VỪA","📐 Diện tích: 3 x 12m (32m²)
🏗 Kết cấu: 1 trệt + 2 lầu + sân thượng
🛏 Công năng: Phòng khách – bếp – 4PN/4WC
- Không lộ giới, không quy hoạch.

Liên hệ: *** - Long BDS",32.0,120.0,2.6666666666666665,2.0,4.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,tay_nam,hem_xe_hoi,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,7.0
Giá Nhỉnh 6T - LÔ GÓC HXH – BÙI HỮU NGHĨA - BÌNH THẠNH,"📐 Diện tích: 38m² (4.5 x 8m)
🏗 Kết cấu: 1 trệt + 2 lầu (nhà cũ, xác định xây mới)

Liên hệ: *** - Long BDS",30.0,76.0,3.75,1.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_nam,hem_xe_hoi,phuong_2_quan_binh_thanh,phuong_gia_dinh,6.0
"Đại Lộ Phạm Văn Đồng - 4.85 tỷ TL, DTSD 65m2, 4 tầng BTCT, SHR CC","Em Huy cần bán căn nhà lô góc ở đường Phạm Văn Đồng (Ngay Đại Lộ khúc cầu Bình Lợi chạy xuống) P. Bình Lợi Trung, Q. Bình Thạnh - 4.85 tỷ thương lượng ạ.

- Diện tích 21m2, kết cấu 4 tầng BTCT gồm 2PN và 4WC, phòng khách + bếp, sân thượng rộng rãi. 

- Nhà Lô Góc thoáng mát, chạy 100m ra mặt tiền đường đại lộ PVĐ, sổ hồng riêng chính chủ, hoàn công đầy đủ, công nhận đủ.

Anh chị xem nhà nhăn em Huy nhé ạ, xem nhà 24/7.

Tiktok: Chuyện Chàng Và Nhà.
FB: Lâm Dương Hoàng Huy.",21.0,65.0,2.3333333333333335,4.0,2.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,nam,hem_xe_hoi,phuong_13_quan_binh_thanh,phuong_binh_loi_trung,4.85
"SIÊU PHẨM TRẦN BÌNH TRỌNG HẺM XE HƠI CHỈ 6,95TY","🥅 DT : 3/5,5 x 10m DT đất 36,6m2  
🌻Kết cấu: 1 trệt, 2 lầu sân thượng 
🌻Công năng : 3 PN master lớn 4 WC

💢 Vị trí đẹp đường trước nhà 8m khu sang trọng hẻm sang sạch , KV dân trí, TT Bình Thạnh tiện ích xung quanh cạnh Phú Nhuận, tiện đi lại Q1, Q3
🤙*** Ms Kim 💋 TL chính chủ",40.0,109.0,4.0,4.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_bac,hem_xe_hoi,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,6.95
Nhà 3 tầng Lê Văn Duyệt,"🔥 NHÀ NỞ HẬU - GIÁ KHÔNG TƯỞNG - CHỈ 3.7 TỶ! 🔥

Vị trí: Lê Văn Duyệt (BT) – Căn hiếm, vị trí chiến lược, ĐI BỘ QUA Q1.

Tiềm năng sinh lời: Diện tích 3.48×7m NỞ HẬU 3.58m – Phong thủy tài lộc, đảm bảo giá trị gia tăng theo thời gian.

Lối đi: Hẻm thông 4 hướng (Vạn Kiếp - N. Duy - LVD - V.H. Tấn). VF3 vào cách nhà 30m.

Cấu trúc: Nhà 3 tầng kiên cố, 2 PN (dễ dàng lên 3 PN). Chỉ cần dọn vào ở hoặc cho thuê.

⚠️Chủ cần BÁN GẤP trong tháng . 
🚩Sổ hồng công chứng ngay.",20.0,6.0,2.857142857142857,3.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_nam,hien_trang_khac,phuong_1_quan_binh_thanh,phuong_gia_dinh,3.6
"HẺM 3 GÁC – 10M RA HẺM XE HƠI - BÙI ĐÌNH TUÝ, BÌNH THẠNH","🏗 Kết cấu: 4.5x10m - 1 trệt + 2 lầu đúc BTCT – hoàn công đủ
🛋 Công năng: Phòng khách, bếp, 3PN/3WC",45.0,135.0,4.5,2.0,3.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,tay_bac,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,6.28
NHỈNH 6T - Hẻm 3M - Sát MT Phan Văn Trị Bình Thạnh,"Diện tích : 4mx12m - CN: 46,6M
Kết cấu 1 Trệt 2 Lầu gồm 3 Phòng ngủ 🛌, 4WC 🛁, Phòng khách , Bếp",48.0,100.0,4.0,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong_nam,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,6.0
"BÁN NHÀ 2 LẦU – HẺM GẦN XE HƠI – PHÚ MỸ, BÌNH THẠNH","📐 Diện tích: 4 x 15
🏗 Kết cấu: 1 trệt 2 lầu
🛏 2 Phòng ngủ – 2 WC
💵 Đang cho thuê ổn định: – dòng tiền sẵn
🚗 Hẻm trước nhà 3m, cách hẻm xe hơi chỉ 15m",60.0,180.0,4.0,1.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong,hem_xe_hoi,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,5.2
"- NHÀ MỚI 3 TẦNG – PHAN VĂN TRỊ, BÌNH THẠNH","📐 Diện tích: 4 x 12m
📖 Công nhận: 46,6m²
🏗 Kết cấu: 1 trệt + 2 lầu
🛏 3 phòng ngủ – 🚿 4 WC
🛋 Phòng khách | 🍽 Bếp",46.6,150.0,3.8833333333333333,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,tay_nam,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,6.0
SIÊU PHẨM BÌNH THẠNH - SÁT QUẬN 1,"Vị trí: Tăng Bạt Hổ, khu Bình Lợi Trung, Bình Thạnh. Hẻm ba gác thông thoáng, an ninh.
Kết cấu: 1 trệt, 2 lầu, sân thượng.
Công năng: 3 Phòng ngủ, 3 WC. Nhà thiết kế hiện đại, nội thất cao cấp xịn sò.
Pháp lý: Sổ nở hậu đẹp, mang lại tài lộc cho gia chủ. Pháp lý sạch, công chứng ngay.",50.0,50.0,4.123105625617661,3.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,bac,hem_xe_hoi,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,6.0
BÁN NHÀ HẺM XE HƠI - PHƯỜNG 5 - BÌNH THẠNH,"Bán nhà đầy đủ nội thất vào ở ngay
Với 3 phòng ngủ lớn , 4 toilet
Hẻm xe hơi tới nhà , khu dân trí và an ninh
Vị trí thuận tiện , tiếp giáp những tuyến đường lớn Phan Đăng Lưu , Lê Quang Định …
Tiện di chuyển sân bay và quận 1 
Giá bán : 6tỷ950 thương lượng chính chủ",38.0,38.0,3.4545454545454546,4.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,tay_nam,hem_xe_hoi,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,6.95
[SÁT LANDMARK 81] GẦN CẦU SAIGON_NGÃ TƯ HÀNG XANH_THUẬN TIỆN DI CHUYỂN,"[ Nguyễn Hữu Cảnh_ Thạnh Mỹ Tây_Bình Thạnh ]

🔹️ SIÊU PHẨM NHÀ MỚI KENG
🔹️ 2 TẦNG LẦU_2PN_2WC

🔰 Đối diện Landmark 81, Sài Gòn Pearl, Qua Quận 1 chỉ 1 cây cầu
🔰 Gần Đại học Ngoại Thương.Giao Thông Vận Tải. Hutech.Văn Lang.
🔰 Nội thất đầy đủ gồm: Khách, Bếp, 2 P.Ngủ, 2WC, P. đọc sách, giặt phơi.... 
🔰 2 Balcony siêu chill view Landmark 81 về Quận 1.
🔰 Sổ hồng riêng công chứng ngay 
🔰 Tặng toàn bộ nội thất cao cấp. Máy Giặt Sấy. Tivi. Tủ lạnh. Máy lạnh.Khoá vân tay...

✨️Giá chủ chào bán: 4ty650 (thương lượng chính chủ) 

📲 GỌI XEM NHÀ NGAY: *** (Call,Zalo) 

#nhadatquanbinhthanh #nhaphobinhthanh #nhadepquanbinhthanh #TungBinhThanh",26.0,52.0,2.973213749463701,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,nam,hien_trang_khac,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,4.65
"Nhà Sát Mặt Tiền Điện Biên Phủ - 4.5 TỶ TL, DT 30m2, SHR vuông vức.","Em Huy cần bán căn nhà đường Điện Biên Phủ, P. Thạnh Mỹ Tây (P22), Q. Bình Thạnh - 4.5 tỷ thương lượng.

- Diện tích 30m2, vuông vức đẹp, kết cấu đang là 2 tầng mái tôn, gồm 2PN và 2WC, phù hợp cho gia đình nhỏ hoặc mua về cải tạo cho thuê.

- Vị trí đi tầm 70m ra mặt tiền xe hơi, tiện qua khu trung tâm vì giáp với Q1, kề đó là toà LandMark 81. Gần trường học từ C1 đến ĐH, tiện thời gian cho gia đình có con em đang đi học.

- Sổ hồng chính chủ, hoàn công đủ, hẻm sạch sẽ khu an ninh, không mồ mã không quy hoạch không tệ nạn.

Xem nhà nhắn em Huy ạ, xem nhà 24/7 không mất phí.

Tiktok: Chuyện Chàng Và Nhà.
FB: Lâm Dương Hoàng Huy.",30.0,60.0,3.8461538461538463,2.0,2.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,dong_nam,hien_trang_khac,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,4.5
"🔥 HẺM XE HƠI THÔNG – NƠ TRANG LONG, BÌNH THẠNH","• Diện tích: 4.5 x 15 -vuông vức.
 • Kết cấu: 1 trệt 1 lầu BTCT – 3 phòng ngủ – 3WC – full nội thất tặng lại toàn bộ.
 • Vị trí đẹp sát mặt tiền Nơ Trang Long, thông chu văn an

Nhỉnh 7T",67.5,100.0,4.5,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_bac,hem_xe_hoi,phuong_13_quan_binh_thanh,phuong_binh_loi_trung,7.0
"Nhà Tăng Bạt Hổ - 4.75 tỷ, DT 27.3m2, Sát ĐH Văn Lang, SHR chính chủ","Em Huy cần bán căn nhà đường Tăng Bạt Hổ, P. 11, Q. Bình Thạnh - 4.75 tỷ còn thương lượng ạ.

- Diện tích 27.3m2, hiện đang là 1 trệt 1 lầu đúc, gồm 2PN và 1WC, phòng khách bếp, nhà để trống, khá cũ nên anh chị mua về tiện cải tạo theo mong muốn.

- Thông ra 2 hẻm, 20m ra mặt tiền Nguyễn Văn Đậu, hẻm xe hơi, 3-5p là đến trường ĐH Văn Lang, học sinh hay đi về bằng đường này lắm ạ.

- Sổ hồng chính chủ 2025 chủ bao sang tên, nhà nở hậu, công nhận đủ.

Anh chị xem nhà nhắn em Huy ạ, xem 24/7.

Tiktok: Chuyện Chàng Và Nhà.
FB: Lâm Dương Hoàng Huy.",27.3,27.3,3.033333333333333,2.0,2.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,dong_bac,hem_xe_hoi,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,4.75
"Nhà nhỏ xinh thông 2 đầu hẻm Tầm Vu, vài bước chân ra đường lớn.","Trệt, lầu. Hai phòng ngù mát mẻ. Nhà sạch, mới, vào ở ngay
Miễn trung gian",27.7,27.7,3.068876015742571,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,nha_no_hau,phuong_26_quan_binh_thanh,phuong_binh_thanh,3.999
MỚI KENG XÀ BENG - Nhà ngay PHAN XÍCH LONG- VẠN KIẾP 5.45 tỷ,"🏡 Nhà Xây Mới - 4 Tầng đúc BTCT - Khu Phan xích Long - Gần Mặt tiền - Giáp Quận 1 - Vạn Kiếp
👉 1 Trệt 2 lầu sân thượng ( 2 Phòng ngủ master, 3 Wc )
➡️Vị Trí: Hẻm trước nhà gần 3 mét, cách đường Nguyễn Lâm 2 căn. Nhà nằm trong khu ẩm thực PXLONG & VẠN KIẾP, giáp Quận 1, gần chợ, trường học, bệnh viện,…
👉 Hẻm sạch sẽ An ninh, dân trí cao📖 Sổ hồng riêng, hoàn công đủ, công chứng ngay.",25.0,25.0,3.5714285714285716,4.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,dong_nam,hien_trang_khac,phuong_1_quan_binh_thanh,phuong_gia_dinh,5.45
"Nhà Phạm Văn Đồng, DTSD 57m2, 2PN, 3WC, 3 Tầng","3 Tỷ 55, ĐƯỜNG PHẠM VĂN ĐỒNG, BÌNH THẠNH
💥Diện tích 19,3m2, DTSD: 57m2
💥Kết cấu: 3 tầng, 2PN 3WC
💥30m ra tới Phạm Văn Đồng
📚Pháp lý: sổ hồng
💵Giá 3,55 Tỷ
☎ Lh: Anh Dũng xem nhà xem sổ",19.3,57.0,2.5616400996236766,3.0,2.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,tay_bac,hien_trang_khac,phuong_13_quan_binh_thanh,phuong_binh_loi_trung,3.55
"🔥 GIẢM MẠNH BÁN TRƯỚC TÊT – BÁN ĐẤT TẶNG NHÀ HXH NGUYỄN XÍ, BÌNH THẠNH","Diện tích: 4 x 15.5 
🏗 Kết cấu: 1 trệt 1 lầu
🛏 3 phòng ngủ – 3 WC (có phòng ngủ trệt)
🚘 Sân để xe rộng
🏠 Nhà đang cho thuê
📖 Pháp lý: Sổ hồng sạch, sổ cất két
Nhỉnh 7T",62.0,130.0,4.0,1.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_nam,hem_xe_hoi,phuong_26_quan_binh_thanh,phuong_binh_thanh,7.0
"GIÁ 7 TỶ - Oto đỗ cửa HOÀNG HOA THÁM, BÌNH THẠNH","📐 Diện tích: 4 x 14m 
🏗 Kết cấu: Trệt + 2 Lầu + Sân thượng
🛏 7 Phòng ngủ – 7 WC",56.0,150.0,4.0,2.0,7.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay,hem_xe_hoi,phuong_7_quan_binh_thanh,phuong_gia_dinh,7.0
🌈🌹🌹SIÊU PHẨM -2 TẦNG BTCT-DTSD 36m2- XÔ VIẾT NGHỆ TĨNH -BÌNH THẠNH,"🏗️Kết cấu: Trệt, lầu BTCT kiên cố.  Gồm 2PN, 2WC, PK- bếp mở, giếng trời thoáng sáng
 N466.3#📐DT : 3.3m. × 6m( công nhận đủ.)
⚡Thiết kế hiện đại, xinh xắn 👉Tặng Full nội thất sang xịn mịn: Sofa, TV, máy lạnh, tủ lạnh, bộ bàn ăn, tủ bếp, giường, nệm, chăn, ga, tủ, máy giặt…
👍 Dân cư hiện hữu, ko quy hoạch lộ giới.
📚Pháp lý sạch, hoàn công đủ,  công chứng ngay.",18.0,18.0,3.0,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,tay_bac,hien_trang_khac,phuong_25_quan_binh_thanh,phuong_thanh_my_tay,3.69
"💥NHANH TAY💥 56m2 x 3 TẦNG ĐÚC - 3PN Full Nội Thất (4x15) 💰 6,45 Tỷ","💥HIẾM💥 GIÁ TỐT - HÀNG XANH - Xô Viết Nghệ Tĩnh - BÌNH THẠNH - 56m2 x 2 TẦNG - 3PN Master (4x14)
 💰 CHỈ 6,45 Tỷ 🧧🧧🧧

🎁 (BÁN NHANH ĂN TẾT) Phù hợp mua trước tết - Ở giữ tiền tăng dòng tiền -
 CHỈ 30 NGÀY qua 2026 giá BĐS tăng 10% 20% Giá Trị thanh khoản tốt

🌎 Vị trí tốt - CẠNH ĐH VĂN LANG - DƯỢC SÀI GÒN - Thuận tiện đi lại Q1 - GV - PN 

📕 Sổ hồng riêng chuẩn pháp lý, sáng cọc chiều công chứng",56.0,180.0,4.0,3.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_nam,hem_xe_hoi,phuong_25_quan_binh_thanh,phuong_thanh_my_tay,6.45
NHÀ 2 TẦNG MỚI KENG - HẺM Ô TÔ - SÁT QUẬN 1,"Vị trí: Nguyễn Văn Đậu, P.5, Bình Thạnh. Hẻm thông tứ hướng, sạch sẽ, an ninh, dân trí cao.
Kết cấu: 1 trệt, 1 lầu (2 tầng) mới đẹp.
Công năng: 2 Phòng ngủ, 2 WC. Nhà thiết kế hiện đại, chỉ việc xách vali vào ở ngay.
Tiện ích: Sát Quận 1, gần chợ Hoàng Hoa Thám, đầy đủ tiện ích xung quanh. Hẻm ô tô chạy thoải mái.
Pháp lý: Sổ hồng riêng, hoàn công đầy đủ, công chứng ngay trong ngày.",50.0,50.0,4.123105625617661,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_nam,hem_xe_hoi,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,4.75
"🔥HẺM ÔTÔ-🏠XE HƠI NGỦ - NƠ TRANG LONG - BÌNH THẠNH - 48,7 (4,3❌12)M-2T","🔥HẺM ÔTÔ-🏠XE HƠI NGỦ - NƠ TRANG LONG - BÌNH THẠNH - 48,7 (4,3❌12)M-2TẦNG-💰7TỶ🔥

🌹Kết cấu: 1 trệt 1 lầu, Gồm 3PN 2wc. Có phòng trệt cho người già.
🌹 Vị trí: Nhà cũ tiện xây mới cách mặt tiền 1 căn tương lai ra mặt tiền đường, xe hơi ngủ trong nhà.
🌹Pháp Lý: Sổ hồng riêng, chủ nợ bank

❤️*** Trang",48.7,48.7,4.058333333333334,2.0,3.0,nha_ngo_hem,da_co_so,chua_xac_dinh,tay_nam,hem_xe_hoi,phuong_14_quan_binh_thanh,phuong_binh_thanh,7.0
- 20M RA MẶT TIỀN NƠ TRANG LONG THÔNG CHU VĂN AN,"Diện tích: 3.5x15m
📖 Pháp lý: Rõ ràng, chủ bao sang tên
• Hiện chia thành 3 căn cho thuê
Nhỉnh 4T",52.5,150.0,3.5,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_nam,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,4.0
PHAN VĂN TRỊ P.11- 4 TẦNG BTCT 5PN MỚI ĐẸP- CHỈ 6.x TỶ.,"DT 36M² (3.6x10) - SD 140M² SỔ A4 
Kết cấu: 4 tầng BTCT kiên cố. Gồm 5PN, 3WC, PK, bếp, sân để xe, sân thượng trước & sau ,giếng trời.

SHR Hoàn công đủ.",36.0,140.0,3.6,4.0,5.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_bac,hien_trang_khac,phuong_11_quan_binh_thanh,phuong_binh_loi_trung,6.86
"Bán nhà hẻm đẹp Điện Biên Phủ, p17, Bình Thạnh, dt 3,8x13 vuông đẹp","Bán nhà 372/ Điện Biên Phủ, bình thạnh 
Vị trí giáp q1, hẻm trước nhà 3,5m
- DT 3.8x13m, CN 47m2
- 1 trệt 1 lầu, 3pn 2nvs
Giá chỉ 5ty65 TL
- Sổ hồng riêng
- Lh' ***",47.0,90.0,3.6153846153846154,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_nam,nha_no_hau,phuong_17_quan_binh_thanh,phuong_gia_dinh,5.65
🏡 Hẻm 3M – GẦN HẺM XE HƠI - BÙI ĐÌNH TUÝ BÌNH THẠNH,"📐 Kết cấu: 4.5x13
 • 1 trệt + 2 lầu đúc BTCT, hoàn công đầy đủ
 • Công năng: Phòng khách – Bếp – 4 Phòng ngủ – 4 WC
 • Có ban công, giếng trời thông thoáng, nhà sáng mát

Giá: nhỉnh 6T",58.5,180.0,4.5,2.0,3.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_nam,hem_xe_hoi,phuong_12_quan_binh_thanh,phuong_binh_thanh,6.0
"Bán nhà điện biên phủ, bình thạnh giáp quận 1. Giá tốt","🏧5,65 tỷ tl. Nhà 372/ Điện Biên Phủ, P17, bình thạnh. Vị trí giáp Quận 1. Cách mặt tiền đúng 100m.
🌀 DT 3.7m x 13m, CN 47m2. Trệt lầu. 3PN(1pn trêt), 2WC.
🌀Sổ hồng riêng. Hoàn công đủ. Côg chứng trong ngày.
📲*** Mr Trọng",47.0,85.0,3.6153846153846154,2.0,3.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,dong_nam,hem_xe_hoi,phuong_17_quan_binh_thanh,phuong_gia_dinh,5.65
SAU MT HXH NGUYỄN VĂN ĐẬU-20M2-4 LẦU-FULL NỘI THẤT- 3.7TỶ TL,"Mô tả:
+ Ví trí: Ngay Nguyễn Văn Đậu, Phường Bình Thạnh. Giáp Hoàng Hoa Thám, Lê Quang Định, Gần chợ Cây Quéo, trường học các cấp, xung quanh đầy đủ mọi tiện ích.
+ Hẻm xe hơi tới nhà, ngay sau căn mặt tiền, vừa ở vừa kinh doanh online.
+ Kết cấu: Trệt, 2 lầu, sân thượng. Gồm 2PN, 3WC, PK, bếp, phòng giặt, sân phơi.+ Tặng Full nội thất: Sofa, máy lạnh, tủ bếp, giường, nệm, chăn, ga, tủ, bàn trang điểm, máy giặt…
+ Diện tích: xây full, DTSD 50m2.
+ Nhà phù hợp khách mua ở hoặc cho thuê giữ tiền.
+ Khu dân cư hiện hữu, cao tầng đồng bộ, ko quy hoạch lộ giới.
+ Pháp lý sạch, sổ A4 cất két, công chứng nhanh.",20.0,50.0,2.6076809620810595,4.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,hem_xe_hoi,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,3.7
bán nhà sau mặt tiền bùi đình tuý 4x11 2 lầu,"Cần bán nhà sau căn mặt tiền bùi đình tuý 
4x11 công nhận 36m lộ giới mới công nhận 43m 2 lầu nhà cũ tiện sửa mới 
Nhà cho thuê 9tr mới lấy lại để bán 
Hẻm trước nhà 2m cách mt 30m cách xe hơi 15m 
Nhà hướng bắc 
Khu vực trung tâm đông đúc 
Giá bán 4,5 tỷ tl",44.0,110.0,4.0,3.0,4.0,nha_ngo_hem,da_co_so,chua_xac_dinh,bac,hien_trang_khac,phuong_24_quan_binh_thanh,phuong_binh_thanh,4.5
"Nhà đẹp, Không lộ giới, HXH, 2 Tầng, 2PN, 2WC","Nhà hẻm ô tô tới nhà
Nhà đẹp, nội thấy full
Có 2PN, 2WC, vị trí thuận lợi, kết nối nhanh qua Phú Nhuận
Xem nhà gọi Hieu Htpc BĐS nha. Trân trọng cám ơn

#hieuhtpcbds",19.0,40.0,2.541653005427767,2.0,2.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_bac,hem_xe_hoi,phuong_14_quan_binh_thanh,phuong_binh_thanh,3.99
"[BÁN GẤP] NHÀ HIẾM 88tr/m2 HẺM 3m CÁCH MT LÊ QUANG ĐỊNH, BT 40m.","Nhà 1 sẹc, cách mặt tiền Lê Quang Định khoảng 40m, hẻm cụt an ninh, yên tĩnh. Khu vực xung quanh kinh doanh sầm uất ngày đêm, tiện ở và khai thác cho thuê.
- Kết cấu: 2 tầng (7*18m)
- Gồm 5 phòng ngủ – 3 WC
- Nhà có cửa hông, cửa bếp riêng, ban công, rất thoáng
Phù hợp làm căn hộ dịch vụ / cho thuê phòng, dòng tiền ổn định
Chính chủ lâu năm, chưa qua đầu tư
Pháp lý:
- Sổ hồng riêng
- Hỗ trợ vay ngân hàng",72.0,144.0,4.0,2.0,5.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong_bac,hien_trang_khac,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,6.35
"🔥SIÊU PHẨM - HXH - NỞ HẬU🔥BÌNH THẠNH - GIÁ 6,95 TỶ 🌹Diện tích: 3m x 1","🔥SIÊU PHẨM - HXH - NỞ HẬU🔥BÌNH THẠNH - GIÁ 6,95 TỶ

🌹Diện tích: 3m x 10m nở hậu 5,5m diện tích đất 36,6m2  

👉Kết cấu: 1 trệt, 3 lầu sân thượng   
👉Công năng gồm 3 phòng ngủ master lớn 4 toilet ..   
👉Vị trí đẹp khu sang trọng hẻm sang sạch   
👉Khu dân trí cao xung quanh toàn nhà cao tầng ..   

🌹*** 
(Trang Trần)",36.6,36.6,3.66,5.0,3.0,nha_ngo_hem,da_co_so,chua_xac_dinh,dong_nam,nha_no_hau,phuong_5_quan_binh_thanh,phuong_binh_loi_trung,6.95
46m2 -NGAY NGUYỄN HỮU CẢNH Chỉ 6.8T,"Diện tích: 4 x 11.5 (46m2, vuông vức)
Kết cấu: trệt, lầu, 2PN, 2WC
Hẻm trước nhà 3m thoáng, thông ra Văn Thánh Cách Nguyễn Hữu Cảnh chỉ 30m ra Landmark 81, Pearl Plaza,Chỉ 3 phút
Sổ hồng riêng, không quy hoạch.",46.0,92.0,4.0,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong,nha_no_hau,phuong_22_quan_binh_thanh,phuong_thanh_my_tay,6.8
🚗Nhỉnh 5T - HXH NƠ TRANG LONG ( chưa qua cầu ),"📐 Diện tích: 4 x 10m, nở hậu đều 4.2m – CN: 33m²
🏗 Kết cấu: 1 trệt + 2 lầu BTCT, hoàn công đầy đủ
🛏 Công năng: 2PN – 3WC",33.0,100.0,3.3,2.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,tay_nam,hem_xe_hoi,phuong_13_quan_binh_thanh,phuong_binh_loi_trung,5.0
🏡 XÔ VIẾT NGHỆ TĨNH – BÌNH THẠNH | GIÁ TỐT HIẾM 📍 Thạnh Mỹ Tây (P25 c,"🏡 XÔ VIẾT NGHỆ TĨNH – BÌNH THẠNH | GIÁ TỐT HIẾM

📍 Thạnh Mỹ Tây (P25 cũ)
✨ Nhà ở ngay – khu dân cư hiện hữu
🛏 3 Phòng ngủ
🛋 1 Phòng chờ
🚿 3 WC
💰 Giá 5.68 tỷ – bớt lộc cho khách thiện chí

📲 ***
Xem nhà miễn phí – Hỗ trợ pháp lý – Tư vấn 24/24",30.0,75.0,3.0,3.0,3.0,nha_ngo_hem,da_co_so,noi_that_cao_cap,bac,hien_trang_khac,phuong_25_quan_binh_thanh,phuong_thanh_my_tay,5.68
2 MẶT HẺM XE HƠI HOÀNG HOA THÁM - BÌNH THẠNH,"📐 Diện tích: 4 x 11m (47.8m²) – nở hậu 4.7m
🏗 Kết cấu: 1 trệt 1 lầu – 2PN, 2WC, ban công, sân để xe
🚗 2 mặt hẻm trước sau
🛠 Nhà cũ, tiện xây mới (1 trệt 2 lầu)",47.8,100.0,4.345454545454545,1.0,2.0,nha_ngo_hem,da_co_so,noi_that_day_du,dong,hien_trang_khac,phuong_7_quan_binh_thanh,phuong_gia_dinh,6.0
Chính chủ bán nhà mới xây ngang 4.5m đường Bùi Đình Tuý Bình Thạnh,"Bán nhà mới xây ngang 4.5m vuông vức Trung tâm Bình Thạnh
☘️☘️☘️170/71/11/1A Bùi Đình Tuý. P12.Bình Thạnh -Ngay Uỷ Ban P12 -Gần Chợ Bà Chiểu, tiện di chuyển các Quận
-Diện Tích: 4.5x10 CN 43m2
-Kết Cấu: 1 Trệt 1 Lầu Đúc BTCT Hoàn công Đủ
-Công Năng: Phòng khách, Bếp,2 Phòng Ngủ,2WC,Có Ban Công, Giếng trời thông thoáng…
🎯Vị Trí Cách HXH 10m, Gần Chợ Bà Chiểu, Đầu hẻm là Uỷ Ban P12, sát trường học, bệnh viện

💵Giá: 6.28 Tỷ TL Lộc",43.0,83.0,4.3,2.0,2.0,nha_ngo_hem,da_co_so,hoan_thien_co_ban,tay,hien_trang_khac,phuong_12_quan_binh_thanh,phuong_binh_thanh,6.28
